Project ID,Title,Problem Statement,Objectives,Department,Academic Year,Manual Similarity Score (0-100),"Similar Sections (Title,ProblemStatement,Objectives)",Notes
683bf111c639bfed81a17061,HYDRO ELECTRIC POWER-DRIVEN IRRIGATION SYSTEM,"Project Overview CHAPTER ONE The Tanzania Government's ambitious plan to bolster the agriculture and animal husbandry sectors in the coming years is a testament to the crucial role these industries play in our nation's economic and social advancement. Despite their significance, these sectors grapple with formidable challenges, chief among them being the inadequate production of crops and goods. This inadequacy stems from the widespread absence of proper irrigation schemes in many areas or the prohibitively high costs associated with existing schemes. Consequently, finding a solution that not only addresses these challenges but also empowers farmers to affordably implement and sustain irrigation systems is imperative for unlocking the potential for high agricultural productivity and community development. Central to this solution is the adoption of renewable energy sources, which offer unparalleled reliability compared to traditional generators reliant on fluctuating fuel prices. By harnessing renewable energy, such as hydroelectric power, we can provide...",To design and implement Hydro Electric Power (HEP) Driven Irrigation system.; To gather requirements for the HEP driven irrigation system.; To design the HEP production plant and the monitoring mobile application of the HEP driven irrigation system.; To implement the mobile application and HEP production plant in HEP driven irrigation system.; To evaluate the HEP driven irrigation system regarding to its performance.,Department of Computer Science and Engineering (DoCS&E),2023,,,
683bf118c639bfed81a17064,PENETRATION TESTING IN GSM AND VULNERABILITIES OF SS7 NETWORK,"ON PROJECT The ""Penetration Testing in GSM and SS7 vulnerabilities"" project aims to assess the security posture of Global System for Mobile Commw1ications (GSM) and Signaling System No.7 (SS7) networks through comprehensive penetration testing methodologies. In recent years, the telecommunications industty has faced increasing threats from cyberattacks targeting vulnerabilities within these critical communication protocols. This project seeks to address these challenges by conducting thorough assessments and identifying potential entty points, weaknesses, and attack surfaces within GSM and SS7 networks. Overviews on GSM and SS7 network structure GSM network structure is divided into a Network Switching Subsystem and a Base Station Subsystem. The Network Switching Subsystem (often called core network) is a wired backbone that allows mobile phones to communicate with each other and with mobile devices in other networks. The core network consists of Mobile Switching Centers (MSC) which are primary service delivery nodes responsible for handling voice calls and...","To assess the security vulnerabilities, present in GSM and Signaling System No. 7 networks through penetration testing.; Identify and analyze potential entry points and attack surfaces within GSM and SS7 networks.; Conduct simulated attacks to exploit vulnerabilities in GSM and SS7 protocols.; Evaluate the effectiveness of existing security measures in protecting against penetration attempts.; Recommend strategies and countermeasures to mitigate identified vulnerabilities and enhance the security posture of GSM and SS7 networks.",Department of Computer Science and Engineering (DoCS&E),2023,,,
683bf11ec639bfed81a17067,"A HOLISTIC PLATFORM FOR MANAGEMENT OF FYP, POSTGRADUATE THESES, AND HANDLING OF RESEARCH, INNOVATION, AND CONSULTANCY PROPOSALS","In the current academic environment, the manual processes involved i11 managing undergraduate Final Year Projects (FYP) and postgraduate theses have led to numerous challenges. Both undergraduate and postgraduate students face difficulties in the timely submission, delaying in documents submission intentionally, disappearance of students, commwlication, and feedback loops throughout the project lifecycle. Complaints regarding the lack of transparency and inefficiencies in supervisor-student interactions are prevalent. Students often express frustration when submitted documents receive delayed or no feedback I I I I from supervisors, leading to a breakdown in the project progression. Additionally, HoD or coordinators encounter challenges incoordinating and scheduling various l project-related activities, such as concept note submissions, supervisor assignments, and presentation schedules. This lack of streamlined communication and automated workflow not I only hampers the efficiency of the academic process but also contributes to instances where students and supervisors are disconnected, hindering the overall quality of project outcomes. In...","To gather requirements for all required modules of the academic system.; To design the system.; To implement a holistic platform for the management of FYP, postgraduate theses, and handling of research, innovation, and consultancy proposals.; To test and validate the academic system.",Department of Information Systems and Technology (DIS&T),2023,,,
683bf124c639bfed81a1706a,SMART ELECTRICAL FAULT DETECTION (SFED),"Sma11 Electrical Fault Detection is a web-based system that deals with identifying exactly where an electric problem occurred and provide a lead on how to respond to such problems. Jt uses fog computing technology to improve performance and response to electrical technicians looking for the cause of electrical faults in a given geographical area. 1.2 Problem statement Electrical technicians from institutions such as TANESCO face a challenge of not knowing what and where is the exact problem causing no flow of electricity. This makes them come in trips, first trip to analyze the situation and second trip after analyzing the situation to solve it with the necessary tools. This in tum causes wastage of resources such as time and fuel. Smart Electrical Fault Detection (SEFD) deals with identifying exactly where an electric problem occurred and provide a lead on how to respond to such problems. It involves notifying in real...",To develop a fog computing web-based system that detects electrical faults occurred and provide real-time notification about the location and nature of that particular fault in order to improve TANESCO's and other Electrical organizations responsiveness to power outages and/or infrastructure issues.; To gather requirements for smart electrical faults detection system,Department of Computer Science and Engineering (DoCS&E),2023,,,
683bf129c639bfed81a1706d,AI-DRIVEN E-LEARNING MANAGEMENT SYSTEM,"I AI-driven e-learning management system is a web application that facilitate resource sharing and interactive learning through a chat-bot to enhance the interest of student in learning I mathematics and science subjects in Tanzania. The target audience for this system is secondary school students and users who are interested in mathematics and science subjects. Technological integration include Chat-bot that respond to user's questions related to science and mathematics subjects. I I Problem statement In Tanzania, there is a pressing issue of a shortage of science teachers. This shortage, combined with inadequate learning resources and a lack of technology integration in education, contribute to poor performance in these crucial subjects at the secondary school particularly to the government of Tanzania. Therefore, the project address this challenge with a specific focus on enhancing self-learning to students in science subjects through a web based learning platform and chat-bot for instant assistance to provide...",To assess and analyze existing system.; To design the system architecture to visualize the system's functionality and structure.; To customize an e-learning application.; To integrate chat bot that is responsive to user interaction by providing instant assistance to students and guiding them through the learning process.,Department of Computer Science and Engineering (DoCS&E),2023,,,
683bf12ec639bfed81a17070,AN INTELLIGENT PERSONAL FINANCE ASSISTANT APPLICATION POWERED BY MACHINE LEARNING,"Project Ovenriew In Tanzania 24.14 million persons aged 15+ are employed equivalent to 75.37% of the total working population in Tanzania according to INTEGRATED LABOUR FORCE SURVEY 2020/21 ANALYTICAL REPORT. Yet it has been fow1d that larger percent of Tanzanians who earn income face big financial problems like falling behind with the payment of necessary expenses, big debts, frequently borrowing money and failing to return, it has been foWld that as many as 81.9% of those that run short of money to pay for essential expenses i,ndicated that they mostly borrow to make ends meet and keep borrowing non-stop. The major top 5 reasons given by many Tanzanians for running short are related to Low/fluctuating income, increased cost of living items, too many unexpected expenses, over-spending and unnecessary expenses. Studies shows that Many people do not have capacity and ability to handle their finances leading to failure to achieve most...",To perform requirement Analysis for PEFA (Personal Finance Assistance); To design system architecture; To develop PEFA; To Test and Deploy application,Department of Computer Science and Engineering (DoCS&E),2023,,,
683bf133c639bfed81a17073,INTELLECTUAL WORK TRACE BASED SOCIAL MEDIA,"Project Overview Many social media users are .mcreasm• gly engag•mg •m Plag•ian•sm, whether knowingly or unknowingly. This behaviour leads their followers to believe that the content they P0st originate from their own thoughts, thereby accruing more followers and likes.A larg_er following translates to greater advertisers and earning revenue. economic opportunities, such as attracting potential Some of the most commonly exploited content includes motivational quotes or quotes from renowned figures like Albert Einstein, as well as news articles. Social media users often post such content without acknowledging the original source. II Therefore, we are designing our own social media platform called Aldora to serve as an example of how this problem can be solved or at least minimized. The machine learning model will be hosted online, and every post will be checked for plagiarism. If plagiarism is detected, the original content creator will be notified about the unauthorized sharing of their...","To design a system architecture for the Aldora platform that ensures content authenticity and prevents unauthorized sharing.; To develop a machine learning model capable of detecting plagiarism in social media posts on the Aldora platform.; To integrate the user-friendly interface with the database and the machine learning model, and conduct field testing to evaluate system performance in real-world scenarios.",Department of Computer Science and Engineering (DoCS&E),2023,,,
683bf137c639bfed81a17076,PRECISION IRRIGATION SYSTEM GROUP MEMBERS,"I In our ever-evolving world of agriculture, the need for efficient and sustainable irrigation systems has become increasingly vital. According to a recent report by the Food and Agriculture I Organization (FAO), approximately 60% of th_eworld's population is projected to face water scarcity by 2025 (FAO, 2023). In response to this pressing issue, our project proposal focuses on the development and implementation of a precision irrigation system that optimizes water usage, I enhances crop yield, and minimizes negative environmental impacts. By merging advancements in I sensor technologies, data analytics, and smart irrigation techniques, we aim to revolutionize the way farmers manage their irrigation practices. I The precision irrigation system proposed here offers a range of benefits that surpass traditional irrigation methods. Studies have shown that precision irrigation systems can reduce water wastage by up to 50% when compared to conventional irrigation methods. Additionally, the American Society of Agronomy reports that...",To design a precision irrigation system according to the requirement gathered.; To implement and test precision irrigation system.,Department of Computer Science and Engineering (DoCS&E),2023,,,
683bf13cc639bfed81a17079,MACHINE LEARNING FOR ASSESSMENT OF MENTAL HEALTH DISORDERS,"1.1. Project Overview In recent years, the intersection of technology and healthcare has helped in a transfonnative era, offering innovative solutions to longstanding challenges. Among these advancements, machine teaming has emerged as a powerful tool with the potential to revolutionize the field of mental health. TI1e application of machine teaming algorithms for the detection of mental health disorders represents an itmovative approach that holds promise for early diagnosis, personalized treatment, and improved overall well-being. This integration of artificial intelligence and mental health not only marks a significant leap forward in the understanding of complex psychological conditions but also paves the way for more accessible, efficient, and accurate methods of identification and iuteiventiot1. In this exploration of ""Machine Leaming for Assessment of Mental Health Disorders,"" we search into the difficult of how these technologies are reshaping the landscape of mental healthcare, offering new hope for individuals facing the challenges of mental...","To select appropriate datasets.; To develop, train and test a machine learning model.; To create a user-friendly interface for the end-users.; To integrate the user interface with the machine learning model.",Department of Computer Science and Engineering (DoCS&E),2023,,,
683bf141c639bfed81a1707c,WEB BASED INVENTORY MANAGEMENT SYSTEM (A CASE OF UDOM) .,"Project Overview The Web-Based Inventory Management System is a comprehensive web-based solution developed to streamline and enhance inventory management efficiency within the institution. Recognizing the critical role of technology in modern organi:zational operations, this system provides a centralized and automated platfonn for tracking, monitoring, and managing diverse inventories across the wliversity's departments. Problem statement Currently, at the University of Dodoma, there exists a lack of a unified system for tracking and managing inventories across different departments. This leads to inefficiencies, inaccuracies, and delays in accessing critical inventory information. The absence of real-time data hampers decision making processes, and the overall management of resources becomes a daunting task. To elaborate further on the problem, there is a significant need for a systematic and integrated approach to inventory management at the University of Dodoma. The lack of a standardized system results in discrepancies, losses, and an inability to optimize resource allocation efficiently....","To analyze the current inventory management processes at the University of Dodoma and identify areas for improvement.; To design and develop a web-based Inventory Management System that integrates seamlessly with the university's existing infrastructure.; To implement the system, ensuring user-friendly interfaces, scalability, and adherence to security standards.",Department of Computer Science and Engineering (DoCS&E),2023,,,
